# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-03-12 13:00:47 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12213100 NOOKSACK RIVER AT FERNDALE, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12213100
#            TS   parameter     statistic     Description
#        149551       00060     00003     Discharge, cubic feet per second (Mean)
#        149552       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	149551_00060_00003	149551_00060_00003_cd	149552_00065_00003	149552_00065_00003_cd
USGS	12213100	2018-12-26	3300	A	6.75	A
USGS	12213100	2018-12-27	3070	A	6.53	A
USGS	12213100	2018-12-28	2870	A	6.33	A
USGS	12213100	2018-12-29	4720	A	7.91	A
USGS	12213100	2018-12-30	9710	A	11.40	A
USGS	12213100	2018-12-31	5620	A	8.67	A
USGS	12213100	2019-01-01	4300	A	7.63	A
USGS	12213100	2019-01-02	3650	A	7.06	A
USGS	12213100	2019-01-03	6600	A	9.21	A
USGS	12213100	2019-01-04	15700	A	14.84	A
USGS	12213100	2019-01-05	9870	A	11.51	A
USGS	12213100	2019-01-06	7010	A	9.68	A
USGS	12213100	2019-01-07	5900	A	8.88	A
USGS	12213100	2019-01-08	4790	A	8.03	A
USGS	12213100	2019-01-09	4770	A	8.01	A
USGS	12213100	2019-01-10	5860	A	8.86	A
USGS	12213100	2019-01-11	5330	A	8.45	A
USGS	12213100	2019-01-12	4340	A	7.66	A
USGS	12213100	2019-01-13	3780	A	7.18	A
USGS	12213100	2019-01-14	3410	A	6.84	A
USGS	12213100	2019-01-15	3160	A	6.61	A
USGS	12213100	2019-01-16	2950	A	6.41	A
USGS	12213100	2019-01-17	2780	A	6.24	A
USGS	12213100	2019-01-18	3110	A	6.55	A
USGS	12213100	2019-01-19	3620	A	7.04	A
USGS	12213100	2019-01-20	3550	A	6.97	A
USGS	12213100	2019-01-21	3010	A	6.47	A
USGS	12213100	2019-01-22	2740	A	6.20	A
USGS	12213100	2019-01-23	4960	A	8.11	A
USGS	12213100	2019-01-24	4850	A	8.07	A
USGS	12213100	2019-01-25	3700	A	7.11	A
USGS	12213100	2019-01-26	3170	A	6.61	A
USGS	12213100	2019-01-27	2850	A	6.31	A
USGS	12213100	2019-01-28	2630	A	6.09	A
USGS	12213100	2019-01-29	2460	A	5.91	A
USGS	12213100	2019-01-30	2310	A	5.75	A
USGS	12213100	2019-01-31	2200	A	5.63	A
USGS	12213100	2019-02-01	2460	A	5.90	A
USGS	12213100	2019-02-02	6250	A	9.12	A
USGS	12213100	2019-02-03	4360	A	7.67	A
USGS	12213100	2019-02-04	3320	A	6.76	A
USGS	12213100	2019-02-05	2810	A	6.27	A
USGS	12213100	2019-02-06	2510	A	5.97	A
USGS	12213100	2019-02-07	2320	A	5.76	A
USGS	12213100	2019-02-08	2210	A	5.64	A
USGS	12213100	2019-02-09	2060	A:e	5.59	A
USGS	12213100	2019-02-10	1940	A:e	5.67	A
USGS	12213100	2019-02-11	1860	A:e	5.38	A
USGS	12213100	2019-02-12	1820	A:e	5.20	A
USGS	12213100	2019-02-13	1780	A	5.15	A
USGS	12213100	2019-02-14	1690	A	5.04	A
USGS	12213100	2019-02-15	1680	A	5.03	A
USGS	12213100	2019-02-16	1700	A	5.05	A
USGS	12213100	2019-02-17	1660	A	5.01	A
USGS	12213100	2019-02-18	1610	A	4.94	A
USGS	12213100	2019-02-19	1570	A	4.89	A
USGS	12213100	2019-02-20	1670	A	5.02	A
USGS	12213100	2019-02-21	1650	A	5.00	A
USGS	12213100	2019-02-22	1610	A	4.94	A
USGS	12213100	2019-02-23	1630	A	4.97	A
USGS	12213100	2019-02-24	1620	A	4.96	A
USGS	12213100	2019-02-25	1560	A	4.89	A
USGS	12213100	2019-02-26	1470	A	4.76	A
USGS	12213100	2019-02-27	1390	A	4.66	A
USGS	12213100	2019-02-28	1370	A	4.63	A
USGS	12213100	2019-03-01	1330	A	4.59	A
USGS	12213100	2019-03-02	1300	A	4.54	A
USGS	12213100	2019-03-03	1260	A	4.49	A
USGS	12213100	2019-03-04	1240	A	4.46	A
USGS	12213100	2019-03-05	1210	A	4.42	A
USGS	12213100	2019-03-06	1190	A	4.40	A
USGS	12213100	2019-03-07	1200	A	4.40	A
USGS	12213100	2019-03-08	1200	A	4.40	A
USGS	12213100	2019-03-09	1190	A	4.39	A
USGS	12213100	2019-03-10	1150	A	4.34	A
USGS	12213100	2019-03-11	1140	A	4.32	A
USGS	12213100	2019-03-12	1490	A	4.79	A
USGS	12213100	2019-03-13	1570	A	4.90	A
USGS	12213100	2019-03-14	1440	A	4.73	A
USGS	12213100	2019-03-15	1400	A	4.68	A
USGS	12213100	2019-03-16	1470	A	4.77	A
USGS	12213100	2019-03-17	1580	A	4.91	A
USGS	12213100	2019-03-18	1770	A	5.14	A
USGS	12213100	2019-03-19	2040	A	5.45	A
USGS	12213100	2019-03-20	2280	A	5.72	A
USGS	12213100	2019-03-21	2590	A	6.05	A
USGS	12213100	2019-03-22	2490	A	5.94	A
USGS	12213100	2019-03-23	2400	A	5.84	A
USGS	12213100	2019-03-24	2300	A	5.73	A
USGS	12213100	2019-03-25	2080	A	5.50	A
USGS	12213100	2019-03-26	2280	A	5.72	A
USGS	12213100	2019-03-27	2470	A	5.92	A
USGS	12213100	2019-03-28	2080	A	5.50	A
USGS	12213100	2019-03-29	1890	A	5.28	A
USGS	12213100	2019-03-30	1820	A	5.20	A
USGS	12213100	2019-03-31	1810	A	5.19	A
USGS	12213100	2019-04-01	1810	A	5.19	A
USGS	12213100	2019-04-02	1810	A	5.19	A
USGS	12213100	2019-04-03	1940	A	5.31	A
USGS	12213100	2019-04-04	3540	A	6.64	A
USGS	12213100	2019-04-05	3060	A	6.17	A
USGS	12213100	2019-04-06	3420	A	6.50	A
USGS	12213100	2019-04-07	3060	A	6.16	A
USGS	12213100	2019-04-08	2660	A	5.77	A
USGS	12213100	2019-04-09	2780	A	5.88	A
USGS	12213100	2019-04-10	2980	A	6.09	A
USGS	12213100	2019-04-11	3420	A	6.51	A
USGS	12213100	2019-04-12	3790	A	6.84	A
USGS	12213100	2019-04-13	3690	A	6.75	A
USGS	12213100	2019-04-14	4140	A	7.15	A
USGS	12213100	2019-04-15	3570	A	6.64	A
USGS	12213100	2019-04-16	3080	A	6.18	A
USGS	12213100	2019-04-17	3090	A	6.19	A
USGS	12213100	2019-04-18	3440	A	6.52	A
USGS	12213100	2019-04-19	9630	A	11.05	A
USGS	12213100	2019-04-20	10300	A	11.43	A
USGS	12213100	2019-04-21	6570	A	8.84	A
USGS	12213100	2019-04-22	5210	A	7.82	A
USGS	12213100	2019-04-23	4820	A	7.53	A
USGS	12213100	2019-04-24	4640	A	7.39	A
USGS	12213100	2019-04-25	3980	A	6.87	A
USGS	12213100	2019-04-26	3560	A	6.53	A
USGS	12213100	2019-04-27	3260	A	6.29	A
USGS	12213100	2019-04-28	3000	A	6.07	A
USGS	12213100	2019-04-29	2690	A	5.80	A
USGS	12213100	2019-04-30	2470	A	5.61	A
USGS	12213100	2019-05-01	2300	A	5.47	A
USGS	12213100	2019-05-02	2190	A	5.37	A
USGS	12213100	2019-05-03	2110	A	5.30	A
USGS	12213100	2019-05-04	2020	A	5.22	A
USGS	12213100	2019-05-05	2060	A	5.25	A
USGS	12213100	2019-05-06	2280	A	5.45	A
USGS	12213100	2019-05-07	2700	A	5.81	A
USGS	12213100	2019-05-08	2940	A	6.02	A
USGS	12213100	2019-05-09	3340	A	6.35	A
USGS	12213100	2019-05-10	3530	A	6.50	A
USGS	12213100	2019-05-11	3950	A	6.84	A
USGS	12213100	2019-05-12	4340	A	7.16	A
USGS	12213100	2019-05-13	3710	A	6.65	A
USGS	12213100	2019-05-14	3190	A	6.23	A
USGS	12213100	2019-05-15	3480	A	6.47	A
USGS	12213100	2019-05-16	3350	A	6.36	A
USGS	12213100	2019-05-17	3980	A	6.86	A
USGS	12213100	2019-05-18	4300	A	7.12	A
USGS	12213100	2019-05-19	3300	A	6.32	A
USGS	12213100	2019-05-20	3050	A	6.11	A
USGS	12213100	2019-05-21	3120	A	6.17	A
USGS	12213100	2019-05-22	2960	A	6.04	A
USGS	12213100	2019-05-23	3010	A	6.08	A
USGS	12213100	2019-05-24	3440	A	6.43	A
USGS	12213100	2019-05-25	3360	A	6.37	A
USGS	12213100	2019-05-26	3260	A	6.28	A
USGS	12213100	2019-05-27	3020	A	6.08	A
USGS	12213100	2019-05-28	3190	A	6.22	A
USGS	12213100	2019-05-29	3340	A	6.35	A
USGS	12213100	2019-05-30	3300	A	6.32	A
USGS	12213100	2019-05-31	3440	A	6.44	A
USGS	12213100	2019-06-01	3560	A	6.53	A
USGS	12213100	2019-06-02	3330	A	6.34	A
USGS	12213100	2019-06-03	3120	A	6.17	A
USGS	12213100	2019-06-04	2710	A	5.82	A
USGS	12213100	2019-06-05	2380	A	5.53	A
USGS	12213100	2019-06-06	2760	A	5.86	A
USGS	12213100	2019-06-07	2560	A	5.69	A
USGS	12213100	2019-06-08	2390	A	5.55	A
USGS	12213100	2019-06-09	2080	A	5.27	A
USGS	12213100	2019-06-10	1890	A	5.09	A
USGS	12213100	2019-06-11	1930	A	5.13	A
USGS	12213100	2019-06-12	2380	A	5.54	A
USGS	12213100	2019-06-13	2920	A	6.00	A
USGS	12213100	2019-06-14	2810	A	5.90	A
USGS	12213100	2019-06-15	2320	A	5.49	A
USGS	12213100	2019-06-16	2260	A	5.43	A
USGS	12213100	2019-06-17	2330	A	5.50	A
USGS	12213100	2019-06-18	2330	A	5.49	A
USGS	12213100	2019-06-19	2200	A	5.37	A
USGS	12213100	2019-06-20	1920	A	5.13	A
USGS	12213100	2019-06-21	1680	A	4.91	A
USGS	12213100	2019-06-22	1620	A	4.85	A
USGS	12213100	2019-06-23	1580	A	4.82	A
USGS	12213100	2019-06-24	1540	A	4.77	A
USGS	12213100	2019-06-25	1440	A	4.68	A
USGS	12213100	2019-06-26	1390	A	4.63	A
USGS	12213100	2019-06-27	1740	A	4.96	A
USGS	12213100	2019-06-28	2150	A	5.33	A
USGS	12213100	2019-06-29	1790	A	5.01	A
USGS	12213100	2019-06-30	1550	A	4.79	A
USGS	12213100	2019-07-01	1520	A	4.76	A
USGS	12213100	2019-07-02	1560	A	4.80	A
USGS	12213100	2019-07-03	1460	A	4.70	A
USGS	12213100	2019-07-04	1440	A	4.68	A
USGS	12213100	2019-07-05	1460	A	4.70	A
USGS	12213100	2019-07-06	1410	A	4.65	A
USGS	12213100	2019-07-07	1320	A	4.57	A
USGS	12213100	2019-07-08	1320	A	4.56	A
USGS	12213100	2019-07-09	1300	A	4.55	A
USGS	12213100	2019-07-10	1600	A	4.83	A
USGS	12213100	2019-07-11	3040	A	6.09	A
USGS	12213100	2019-07-12	2860	A	5.94	A
USGS	12213100	2019-07-13	2050	A	5.25	A
USGS	12213100	2019-07-14	1760	A	4.97	A
USGS	12213100	2019-07-15	1570	A	4.80	A
USGS	12213100	2019-07-16	1440	A	4.68	A
USGS	12213100	2019-07-17	1400	A	4.64	A
USGS	12213100	2019-07-18	3260	A	6.26	A
USGS	12213100	2019-07-19	2690	A	5.81	A
USGS	12213100	2019-07-20	2070	A	5.27	A
USGS	12213100	2019-07-21	1710	A	4.95	A
USGS	12213100	2019-07-22	1640	A	4.89	A
USGS	12213100	2019-07-23	1660	A	4.90	A
USGS	12213100	2019-07-24	1540	A	4.80	A
USGS	12213100	2019-07-25	1350	A	4.62	A
USGS	12213100	2019-07-26	1320	A	4.60	A
USGS	12213100	2019-07-27	1410	A	4.69	A
USGS	12213100	2019-07-28	1410	A	4.70	A
USGS	12213100	2019-07-29	1280	A	4.58	A
USGS	12213100	2019-07-30	1230	A	4.54	A
USGS	12213100	2019-07-31	1160	A	4.47	A
USGS	12213100	2019-08-01	1140	A	4.45	A
USGS	12213100	2019-08-02	1420	A	4.72	A
USGS	12213100	2019-08-03	1960	A	5.21	A
USGS	12213100	2019-08-04	1360	A	4.68	A
USGS	12213100	2019-08-05	1240	A	4.57	A
USGS	12213100	2019-08-06	1310	A	4.64	A
USGS	12213100	2019-08-07	1240	A	4.58	A
USGS	12213100	2019-08-08	1210	A	4.56	A
USGS	12213100	2019-08-09	1270	A	4.62	A
USGS	12213100	2019-08-10	1220	A	4.58	A
USGS	12213100	2019-08-11	1180	A	4.54	A
USGS	12213100	2019-08-12	1120	A	4.49	A
USGS	12213100	2019-08-13	1010	A	4.39	A
USGS	12213100	2019-08-14	956	A	4.34	A
USGS	12213100	2019-08-15	924	A	4.31	A
USGS	12213100	2019-08-16	843	A	4.24	A
USGS	12213100	2019-08-17	783	A	4.19	A
USGS	12213100	2019-08-18	730	A	4.14	A
USGS	12213100	2019-08-19	766	A	4.18	A
USGS	12213100	2019-08-20	708	A	4.13	A
USGS	12213100	2019-08-21	860	A	4.28	A
USGS	12213100	2019-08-22	1240	A	4.64	A
USGS	12213100	2019-08-23	928	A	4.36	A
USGS	12213100	2019-08-24	829	A	4.27	A
USGS	12213100	2019-08-25	712	A	4.16	A
USGS	12213100	2019-08-26	657	A	4.11	A
USGS	12213100	2019-08-27	574	A	4.03	A
USGS	12213100	2019-08-28	675	P	4.14	P
USGS	12213100	2019-08-29	677	P	4.14	P
USGS	12213100	2019-08-30	788	P	4.25	P
USGS	12213100	2019-08-31	824	P	4.28	P
USGS	12213100	2019-09-01	792	P	4.25	P
USGS	12213100	2019-09-02	663	P	4.12	P
USGS	12213100	2019-09-03	667	P	4.13	P
USGS	12213100	2019-09-04	682	P	4.14	P
USGS	12213100	2019-09-05	587	P	4.05	P
USGS	12213100	2019-09-06	597	P	4.06	P
USGS	12213100	2019-09-07	748	P	4.21	P
USGS	12213100	2019-09-08	1060	P	4.50	P
USGS	12213100	2019-09-09	1110	P	4.55	P
USGS	12213100	2019-09-10	1040	P	4.48	P
USGS	12213100	2019-09-11	805	P	4.26	P
USGS	12213100	2019-09-12	671	P	4.13	P
USGS	12213100	2019-09-13	1710	P	5.04	P
USGS	12213100	2019-09-14	3040	P	6.13	P
USGS	12213100	2019-09-15	4540	P	7.27	P
USGS	12213100	2019-09-16	5580	P	8.10	P
USGS	12213100	2019-09-17	3310	P	6.35	P
USGS	12213100	2019-09-18	3590	P	6.56	P
USGS	12213100	2019-09-19	2390	P	5.63	P
USGS	12213100	2019-09-20	1760	P	5.12	P
USGS	12213100	2019-09-21	1440	P	4.84	P
USGS	12213100	2019-09-22	1340	P	4.75	P
USGS	12213100	2019-09-23	2490	P	5.71	P
USGS	12213100	2019-09-24	2650	P	5.83	P
USGS	12213100	2019-09-25	2170	P	5.45	P
USGS	12213100	2019-09-26	3710	P	6.62	P
USGS	12213100	2019-09-27	4410	P	7.20	P
USGS	12213100	2019-09-28	3000	P	6.10	P
USGS	12213100	2019-09-29	2160	P	5.45	P
USGS	12213100	2019-09-30	1650	P	5.03	P
USGS	12213100	2019-10-01	1340	P	4.76	P
